nodo_id,latitude,longitude,msnm
339,18.21,-66.94,374
340,18.21,-66.9,489
341,18.21,-66.86,507
342,18.21,-66.82,572
343,18.21,-66.78,683
344,18.21,-66.74,577
345,18.21,-66.7,472
346,18.21,-66.66,597
347,18.21,-66.62,463
348,18.21,-66.58,561
349,18.21,-66.54,796
350,18.21,-66.5,815
351,18.21,-66.46,741
352,18.21,-66.42,804
353,18.21,-66.38,750
354,18.21,-66.34,702
355,18.21,-66.3,673
356,18.21,-66.26,573
357,18.21,-66.22,393
358,18.21,-66.18,490
359,18.21,-66.14,429
360,18.21,-66.1,381
361,18.21,-66.06,170
362,18.21,-66.02,151
363,18.21,-65.98,150
364,18.21,-65.94,141
365,18.21,-65.9,112
366,18.21,-65.86,138
367,18.21,-65.82,109
368,18.21,-65.78,32
369,18.21,-65.74,20
370,18.21,-65.7,26
371,18.21,-65.66,9
372,18.21,-65.62,4
373,18.21,-65.58,0
374,18.25,-67.22,0
375,18.25,-67.18,15
376,18.25,-67.14,54
377,18.25,-67.1,187
378,18.25,-67.06,260
379,18.25,-67.02,313
380,18.25,-66.98,305
381,18.25,-66.94,318
382,18.25,-66.9,273
383,18.25,-66.86,456
384,18.25,-66.82,591
385,18.25,-66.78,653
386,18.25,-66.74,410
387,18.25,-66.7,289
388,18.25,-66.66,322
389,18.25,-66.62,489
390,18.25,-66.58,713
391,18.25,-66.54,589
392,18.25,-66.5,524
393,18.25,-66.46,430
394,18.25,-66.42,644
395,18.25,-66.38,577
396,18.25,-66.34,628
397,18.25,-66.3,625
398,18.25,-66.26,586
399,18.25,-66.22,334
400,18.25,-66.18,454
401,18.25,-66.14,344
402,18.25,-66.1,276
403,18.25,-66.06,116
404,18.25,-66.02,64
405,18.25,-65.98,105
406,18.25,-65.94,133
407,18.25,-65.9,178
408,18.25,-65.86,223
409,18.25,-65.82,347
410,18.25,-65.78,196
411,18.25,-65.74,158
412,18.25,-65.7,83
413,18.25,-65.66,87
414,18.25,-65.62,14
415,18.25,-65.58,0
416,18.29,-67.26,0
417,18.29,-67.22,0
418,18.29,-67.18,7
419,18.29,-67.14,26
420,18.29,-67.1,91
421,18.29,-67.06,136
422,18.29,-67.02,175
423,18.29,-66.98,184
424,18.29,-66.94,210
425,18.29,-66.9,313
426,18.29,-66.86,441
427,18.29,-66.82,453
428,18.29,-66.78,471
429,18.29,-66.74,380
430,18.29,-66.7,229
431,18.29,-66.66,405
432,18.29,-66.62,457
433,18.29,-66.58,508
434,18.29,-66.54,396
435,18.29,-66.5,326
436,18.29,-66.46,325
437,18.29,-66.42,434
438,18.29,-66.38,454
439,18.29,-66.34,462
440,18.29,-66.3,494
441,18.29,-66.26,482
442,18.29,-66.22,303
443,18.29,-66.18,440
444,18.29,-66.14,299
445,18.29,-66.1,324
446,18.29,-66.06,196
447,18.29,-66.02,90
448,18.29,-65.98,109
449,18.29,-65.94,196
450,18.29,-65.9,377
451,18.29,-65.86,672
452,18.29,-65.82,764
453,18.29,-65.78,680
454,18.29,-65.74,477
455,18.29,-65.7,134
456,18.29,-65.66,133
457,18.29,-65.62,16
458,18.29,-65.58,0
459,18.29,-65.34,0
460,18.29,-65.3,0
461,18.29,-65.26,0
462,18.29,-64.98,0
463,18.29,-64.94,0
464,18.29,-64.9,0
465,18.29,-64.86,0
466,18.29,-64.82,0
467,18.29,-64.78,0
468,18.29,-64.74,0
469,18.29,-64.7,0
470,18.33,-67.26,10
471,18.33,-67.22,60
472,18.33,-67.18,118
473,18.33,-67.14,126
474,18.33,-67.1,85
475,18.33,-67.06,75
476,18.33,-67.02,79
477,18.33,-66.98,136
478,18.33,-66.94,273
479,18.33,-66.9,282
480,18.33,-66.86,333
481,18.33,-66.82,317
482,18.33,-66.78,312
483,18.33,-66.74,293
484,18.33,-66.7,301
485,18.33,-66.66,222
486,18.33,-66.62,287
487,18.33,-66.58,271
488,18.33,-66.54,261
489,18.33,-66.5,195
490,18.33,-66.46,165
491,18.33,-66.42,158
492,18.33,-66.38,185
493,18.33,-66.34,160
494,18.33,-66.3,139
495,18.33,-66.26,145
496,18.33,-66.22,97
497,18.33,-66.18,106
498,18.33,-66.14,79
499,18.33,-66.1,79
500,18.33,-66.06,100
501,18.33,-66.02,96
502,18.33,-65.98,59
503,18.33,-65.94,107
504,18.33,-65.9,91
505,18.33,-65.86,101
506,18.33,-65.82,127
507,18.33,-65.78,193
508,18.33,-65.74,103
509,18.33,-65.7,69
510,18.33,-65.66,41
511,18.33,-65.62,25
512,18.33,-65.34,2
513,18.33,-65.3,6
514,18.33,-65.26,3
515,18.33,-65.02,27
516,18.33,-64.98,66
517,18.33,-64.94,91
518,18.33,-64.9,81
519,18.33,-64.86,18
520,18.33,-64.82,2
521,18.33,-64.78,59
522,18.33,-64.74,154
523,18.33,-64.7,80
524,18.37,-67.26,2
