nodo_id_viejo,location_id,nodo_id_nuevo
666,1472976,343
667,1472977,295
668,1472977,295
669,1472978,249
670,1472978,249
671,1472979,199
672,1472979,199
673,1472980,154
674,1472980,154
675,1472981,114
676,1472981,114
677,1472982,78
678,1472982,78
679,1472983,47
680,1472969,690
681,1472970,643
682,1472970,643
683,1472971,593
684,1472971,593
685,1472972,536
686,1472972,536
687,1472973,482
688,1472973,482
689,1472974,428
690,1472974,428
691,1472975,385
692,1472975,385
693,1472976,343
694,1472976,343
695,1472977,295
696,1472977,295
697,1472978,249
698,1472978,249
699,1472979,199
700,1472979,199
701,1472980,154
702,1472980,154
703,1472981,114
704,1472981,114
705,1472982,78
706,1474153,691
707,1474154,644
708,1474154,644
709,1474155,594
710,1474155,594
711,1474156,537
712,1474156,537
713,1474157,483
714,1474157,483
715,1474158,429
716,1474158,429
717,1474159,386
718,1474159,386
719,1474160,344
720,1474160,344
721,1474161,296
722,1474161,296
723,1474162,250
724,1474162,250
725,1474163,200
726,1474163,200
727,1474164,155
728,1474164,155
729,1474165,115
730,1474165,115
731,1474166,79
732,1474153,691
733,1474154,644
734,1474154,644
735,1474155,594
736,1474155,594
737,1474156,537
738,1474156,537
739,1474157,483
740,1474157,483
741,1474158,429
742,1474158,429
743,1474159,386
744,1474159,386
745,1474160,344
746,1474160,344
747,1474161,296
748,1474161,296
749,1474162,250
750,1474162,250
751,1474163,200
752,1474163,200
753,1474164,155
754,1474164,155
755,1474165,115
756,1474165,115
757,1474166,79
758,1475338,692
759,1475339,645
760,1475339,645
761,1475340,595
762,1475340,595
763,1475341,538
764,1475341,538
765,1475342,484
766,1475342,484
767,1475343,430
768,1475343,430
769,1475344,387
770,1475344,387
771,1475345,345
772,1475345,345
773,1475346,297
774,1475346,297
775,1475347,251
776,1475347,251
777,1475348,201
778,1475348,201
779,1475349,156
780,1475349,156
781,1475350,116
782,1475350,116
783,1475351,80
784,1475337,732
785,1475338,692
786,1475338,692
787,1475339,645
788,1475339,645
789,1475340,595
790,1475340,595
791,1475341,538
792,1475341,538
793,1475342,484
794,1475342,484
795,1475343,430
796,1475343,430
797,1475344,387
798,1475344,387
799,1475345,345
800,1475345,345
801,1475346,297
802,1475346,297
803,1475347,251
804,1475347,251
805,1475348,201
806,1475348,201
807,1475349,156
808,1475349,156
809,1475350,116
810,1475350,116
811,1475351,80
812,1476523,733
813,1476524,693
814,1476524,693
815,1476525,646
816,1476525,646
817,1476526,596
818,1476526,596
819,1476527,539
820,1476527,539
821,1476528,485
822,1476528,485
823,1476529,431
824,1476529,431
825,1476530,388
826,1476530,388
827,1476531,346
828,1476531,346
829,1476532,298
830,1476532,298
831,1476533,252
832,1476533,252
833,1476534,202
834,1476534,202
835,1476535,157
836,1476535,157
837,1476536,117
838,1476536,117
839,1476537,81
840,1476523,733
841,1476524,693
842,1476524,693
843,1476525,646
