nodo_id,latitude,longitude,msnm,location_id
244,18.13,-66.98,518,1467062
245,18.13,-66.94,547,1468241
246,18.13,-66.9,581,1469424
247,18.13,-66.86,732,1470608
248,18.13,-66.82,882,1471793
249,18.13,-66.78,881,1472978
250,18.13,-66.74,805,1474162
251,18.13,-66.7,836,1475347
252,18.13,-66.66,657,1476533
253,18.13,-66.62,576,1477718
254,18.13,-66.58,497,1478903
255,18.13,-66.54,630,1480083
256,18.13,-66.5,299,1481268
257,18.13,-66.46,324,1482453
258,18.13,-66.42,478,1483640
259,18.13,-66.38,456,1484830
260,18.13,-66.34,494,1486028
261,18.13,-66.3,641,1487229
262,18.13,-66.26,628,1488432
263,18.13,-66.22,395,1489635
264,18.13,-66.18,396,1490838
265,18.13,-66.14,400,1492041
266,18.13,-66.1,485,1493246
267,18.13,-66.06,530,1494452
268,18.13,-66.02,440,1495660
269,18.13,-65.98,246,1496871
270,18.13,-65.94,257,1498086
271,18.13,-65.9,244,1499304
272,18.13,-65.86,118,1500516
273,18.13,-65.82,34,1501726
274,18.13,-65.78,5,1502931
275,18.13,-65.74,0,1504143
276,18.13,-65.58,1,1508991
277,18.13,-65.54,10,1510211
278,18.13,-65.5,43,1511432
279,18.13,-65.46,47,1512652
280,18.13,-65.42,56,1513871
281,18.13,-65.38,38,1515089
282,18.13,-65.34,19,1516307
283,18.13,-65.3,14,1517524
284,18.17,-67.22,0,1460012
285,18.17,-67.18,8,1461187
286,18.17,-67.14,68,1462363
287,18.17,-67.1,182,1463539
288,18.17,-67.06,205,1464715
289,18.17,-67.02,395,1465888
290,18.17,-66.98,557,1467061
291,18.17,-66.94,552,1468240
292,18.17,-66.9,677,1469423
293,18.17,-66.86,684,1470607
294,18.17,-66.82,718,1471792
295,18.17,-66.78,714,1472977
296,18.17,-66.74,588,1474161
297,18.17,-66.7,690,1475346
298,18.17,-66.66,707,1476532
299,18.17,-66.62,742,1477717
300,18.17,-66.58,962,1478902
301,18.17,-66.54,933,1480082
302,18.17,-66.5,831,1481267
303,18.17,-66.46,709,1482452
304,18.17,-66.42,700,1483639
305,18.17,-66.38,772,1484829
306,18.17,-66.34,717,1486027
307,18.17,-66.3,629,1487228
308,18.17,-66.26,525,1488431
309,18.17,-66.22,504,1489634
310,18.17,-66.18,464,1490837
311,18.17,-66.14,443,1492040
312,18.17,-66.1,432,1493245
313,18.17,-66.06,302,1494451
314,18.17,-66.02,289,1495659
315,18.17,-65.98,189,1496870
316,18.17,-65.94,150,1498085
317,18.17,-65.9,146,1499303
318,18.17,-65.86,123,1500515
319,18.17,-65.82,68,1501725
320,18.17,-65.78,23,1502930
321,18.17,-65.74,3,1504142
322,18.17,-65.7,2,1505355
323,18.17,-65.66,0,1506568
324,18.17,-65.62,0,1507780
325,18.17,-65.54,0,1510210
326,18.17,-65.5,0,1511431
327,18.17,-65.46,0,1512651
328,18.17,-65.42,6,1513870
329,18.17,-65.38,7,1515088
330,18.17,-65.34,1,1516306
331,18.17,-65.3,0,1517523
332,18.21,-67.22,0,1460011
333,18.21,-67.18,4,1461186
334,18.21,-67.14,60,1462362
335,18.21,-67.1,169,1463538
336,18.21,-67.06,283,1464714
337,18.21,-67.02,388,1465887
338,18.21,-66.98,467,1467060
339,18.21,-66.94,374,1468239
340,18.21,-66.9,489,1469422
341,18.21,-66.86,507,1470606
342,18.21,-66.82,572,1471791
343,18.21,-66.78,683,1472976
344,18.21,-66.74,577,1474160
345,18.21,-66.7,472,1475345
346,18.21,-66.66,597,1476531
347,18.21,-66.62,463,1477716
348,18.21,-66.58,561,1478901
349,18.21,-66.54,796,1480081
350,18.21,-66.5,815,1481266
351,18.21,-66.46,741,1482451
352,18.21,-66.42,804,1483638
353,18.21,-66.38,750,1484828
354,18.21,-66.34,702,1486026
355,18.21,-66.3,673,1487227
356,18.21,-66.26,573,1488430
357,18.21,-66.22,393,1489633
358,18.21,-66.18,490,1490836
359,18.21,-66.14,429,1492039
360,18.21,-66.1,381,1493244
361,18.21,-66.06,170,1494450
362,18.21,-66.02,151,1495658
363,18.21,-65.98,150,1496869
364,18.21,-65.94,141,1498084
365,18.21,-65.9,112,1499302
366,18.21,-65.86,138,1500514
367,18.21,-65.82,109,1501724
368,18.21,-65.78,32,1502929
369,18.21,-65.74,20,1504141
370,18.21,-65.7,26,1505354
371,18.21,-65.66,9,1506567
372,18.21,-65.62,4,1507779
373,18.21,-65.58,0,1508989
374,18.25,-67.22,0,1460010
375,18.25,-67.18,15,1461185
376,18.25,-67.14,54,1462361
377,18.25,-67.1,187,1463537
378,18.25,-67.06,260,1464713
379,18.25,-67.02,313,1465886
380,18.25,-66.98,305,1467059
381,18.25,-66.94,318,1468238
382,18.25,-66.9,273,1469421
383,18.25,-66.86,456,1470605
384,18.25,-66.82,591,1471790
385,18.25,-66.78,653,1472975
386,18.25,-66.74,410,1474159
387,18.25,-66.7,289,1475344
388,18.25,-66.66,322,1476530
389,18.25,-66.62,489,1477715
390,18.25,-66.58,713,1478900
391,18.25,-66.54,589,1480080
392,18.25,-66.5,524,1481265
393,18.25,-66.46,430,1482450
394,18.25,-66.42,644,1483637
395,18.25,-66.38,577,1484827
396,18.25,-66.34,628,1486025
397,18.25,-66.3,625,1487226
398,18.25,-66.26,586,1488429
399,18.25,-66.22,334,1489632
400,18.25,-66.18,454,1490835
401,18.25,-66.14,344,1492038
402,18.25,-66.1,276,1493243
403,18.25,-66.06,116,1494449
404,18.25,-66.02,64,1495657
405,18.25,-65.98,105,1496868
406,18.25,-65.94,133,1498083
407,18.25,-65.9,178,1499301
408,18.25,-65.86,223,1500513
409,18.25,-65.82,347,1501723
410,18.25,-65.78,196,1502928
411,18.25,-65.74,158,1504140
412,18.25,-65.7,83,1505353
413,18.25,-65.66,87,1506566
414,18.25,-65.62,14,1507778
415,18.25,-65.58,0,1508988
416,18.29,-67.26,0,1458835
417,18.29,-67.22,0,1460009
418,18.29,-67.18,7,1461184
419,18.29,-67.14,26,1462360
420,18.29,-67.1,91,1463536
421,18.29,-67.06,136,1464712
422,18.29,-67.02,175,1465885
423,18.29,-66.98,184,1467058
424,18.29,-66.94,210,1468237
425,18.29,-66.9,313,1469420
426,18.29,-66.86,441,1470604
427,18.29,-66.82,453,1471789
428,18.29,-66.78,471,1472974
429,18.29,-66.74,380,1474158
430,18.29,-66.7,229,1475343
431,18.29,-66.66,405,1476529
432,18.29,-66.62,457,1477714
433,18.29,-66.58,508,1478899
434,18.29,-66.54,396,1480079
435,18.29,-66.5,326,1481264
436,18.29,-66.46,325,1482449
437,18.29,-66.42,434,1483636
438,18.29,-66.38,454,1484826
439,18.29,-66.34,462,1486024
440,18.29,-66.3,494,1487225
441,18.29,-66.26,482,1488428
442,18.29,-66.22,303,1489631
443,18.29,-66.18,440,1490834
444,18.29,-66.14,299,1492037
445,18.29,-66.1,324,1493242
446,18.29,-66.06,196,1494448
447,18.29,-66.02,90,1495656
448,18.29,-65.98,109,1496867
449,18.29,-65.94,196,1498082
450,18.29,-65.9,377,1499300
451,18.29,-65.86,672,1500512
452,18.29,-65.82,764,1501722
453,18.29,-65.78,680,1502927
454,18.29,-65.74,477,1504139
455,18.29,-65.7,134,1505352
456,18.29,-65.66,133,1506565
457,18.29,-65.62,16,1507777
458,18.29,-65.58,0,1508987
459,18.29,-65.34,0,1516303
460,18.29,-65.3,0,1517520
461,18.29,-65.26,0,1518736
462,18.29,-64.98,0,1527250
463,18.29,-64.94,0,1528467
464,18.29,-64.9,0,1529684
465,18.29,-64.86,0,1530905
466,18.29,-64.82,0,1532127
467,18.29,-64.78,0,1533359
468,18.29,-64.74,0,1534591
469,18.29,-64.7,0,1535833
470,18.33,-67.26,10,1458834
471,18.33,-67.22,60,1460008
472,18.33,-67.18,118,1461183
473,18.33,-67.14,126,1462359
474,18.33,-67.1,85,1463535
475,18.33,-67.06,75,1464711
476,18.33,-67.02,79,1465884
477,18.33,-66.98,136,1467057
478,18.33,-66.94,273,1468236
479,18.33,-66.9,282,1469419
480,18.33,-66.86,333,1470603
481,18.33,-66.82,317,1471788
482,18.33,-66.78,312,1472973
483,18.33,-66.74,293,1474157
484,18.33,-66.7,301,1475342
485,18.33,-66.66,222,1476528
486,18.33,-66.62,287,1477713
487,18.33,-66.58,271,1478898
488,18.33,-66.54,261,1480078
489,18.33,-66.5,195,1481263
490,18.33,-66.46,165,1482448
491,18.33,-66.42,158,1483635
492,18.33,-66.38,185,1484825
493,18.33,-66.34,160,1486023
494,18.33,-66.3,139,1487224
495,18.33,-66.26,145,1488427
496,18.33,-66.22,97,1489630
497,18.33,-66.18,106,1490833
498,18.33,-66.14,79,1492036
499,18.33,-66.1,79,1493241
500,18.33,-66.06,100,1494447
501,18.33,-66.02,96,1495655
502,18.33,-65.98,59,1496866
503,18.33,-65.94,107,1498081
504,18.33,-65.9,91,1499299
505,18.33,-65.86,101,1500511
506,18.33,-65.82,127,1501721
507,18.33,-65.78,193,1502926
508,18.33,-65.74,103,1504138
509,18.33,-65.7,69,1505351
510,18.33,-65.66,41,1506564
511,18.33,-65.62,25,1507776
512,18.33,-65.34,2,1516302
513,18.33,-65.3,6,1517519
514,18.33,-65.26,3,1518735
515,18.33,-65.02,27,1526022
516,18.33,-64.98,66,1527249
517,18.33,-64.94,91,1528466
518,18.33,-64.9,81,1529683
519,18.33,-64.86,18,1530904
520,18.33,-64.82,2,1532126
521,18.33,-64.78,59,1533358
522,18.33,-64.74,154,1534590
523,18.33,-64.7,80,1535832
524,18.37,-67.26,2,1458833
525,18.37,-67.22,7,1460007
526,18.37,-67.18,20,1461182
527,18.37,-67.14,34,1462358
528,18.37,-67.1,78,1463534
529,18.37,-67.06,114,1464710
530,18.37,-67.02,166,1465883
531,18.37,-66.98,227,1467056
532,18.37,-66.94,249,1468235
533,18.37,-66.9,241,1469418
534,18.37,-66.86,281,1470602
535,18.37,-66.82,246,1471787
536,18.37,-66.78,248,1472972
537,18.37,-66.74,218,1474156
538,18.37,-66.7,193,1475341
539,18.37,-66.66,177,1476527
540,18.37,-66.62,217,1477712
541,18.37,-66.58,205,1478897
542,18.37,-66.54,195,1480077
543,18.37,-66.5,128,1481262
544,18.37,-66.46,191,1482447
545,18.37,-66.42,156,1483634
546,18.37,-66.38,133,1484824
547,18.37,-66.34,124,1486022
548,18.37,-66.3,134,1487223
549,18.37,-66.26,105,1488426
550,18.37,-66.22,53,1489629
551,18.37,-66.18,30,1490832
552,18.37,-66.14,30,1492035
553,18.37,-66.1,44,1493240
554,18.37,-66.06,40,1494446
555,18.37,-66.02,58,1495654
556,18.37,-65.98,37,1496865
557,18.37,-65.94,14,1498080
558,18.37,-65.9,17,1499298
559,18.37,-65.86,13,1500510
560,18.37,-65.82,12,1501720
561,18.37,-65.78,34,1502925
562,18.37,-65.74,10,1504137
563,18.37,-65.7,3,1505350
564,18.37,-65.66,0,1506563
