nodo_id,region
704,Altiplano
705,Altiplano
706,Altiplano
707,Altiplano
708,Altiplano
709,Altiplano
710,Altiplano
711,Altiplano
712,Altiplano
713,Altiplano
714,Altiplano
715,Altiplano
716,Altiplano
717,Altiplano
718,Altiplano
719,Mante
720,Mante
721,Mante
722,Mante
723,Mante
724,Mante
725,Mante
726,Mante
727,Mante
728,Mante
729,Mante
730,Mante
731,Mante
732,Mante
733,Mante
734,Mante
735,Mante
736,Mante
737,Sur
738,Sur
739,Sur
740,Sur
741,Sur
742,Sur
743,Sur
744,Sur
745,Sur
746,Sur
747,Sur
748,Sur
749,Sur
750,Sur
751,Sur
752,Sur
753,Sur
754,Sur
755,Sur
756,Sur
757,Sur
758,Sur
759,Sur
760,Sur
761,Sur
762,Altiplano
763,Altiplano
764,Altiplano
765,Altiplano
766,Altiplano
767,Altiplano
768,Altiplano
769,Altiplano
770,Altiplano
771,Altiplano
772,Altiplano
773,Altiplano
774,Altiplano
775,Altiplano
776,Mante
777,Mante
778,Mante
779,Mante
780,Mante
781,Mante
782,Mante
783,Mante
784,Mante
785,Mante
786,Mante
787,Mante
788,Mante
789,Mante
790,Mante
791,Mante
792,Mante
793,Mante
794,Sur
795,Sur
796,Centro
797,Centro
798,Centro
799,Sur
800,Sur
801,Sur
802,Sur
803,Sur
804,Sur
805,Sur
806,Sur
807,Sur
808,Sur
809,Sur
810,Sur
811,Sur
812,Sur
813,Sur
814,Sur
815,Sur
816,Sur
817,Sur
818,Sur
819,Altiplano
820,Altiplano
821,Altiplano
822,Altiplano
823,Altiplano
824,Altiplano
825,Altiplano
826,Altiplano
827,Altiplano
828,Altiplano
829,Altiplano
830,Altiplano
831,Altiplano
832,Mante
833,Altiplano
834,Altiplano
835,Mante
836,Mante
837,Mante
838,Mante
839,Mante
840,Mante
841,Mante
842,Mante
843,Mante
844,Mante
845,Mante
846,Mante
847,Mante
848,Mante
849,Mante
850,Centro
851,Centro
852,Centro
853,Centro
854,Centro
855,Sur
856,Sur
857,Centro
858,Sur
859,Sur
860,Sur
861,Sur
862,Sur
863,Sur
864,Sur
865,Sur
866,Sur
867,Sur
868,Sur
869,Sur
870,Sur
871,Sur
872,Sur
873,Sur
874,Sur
875,Altiplano
876,Altiplano
877,Altiplano
878,Altiplano
879,Altiplano
880,Altiplano
881,Altiplano
882,Altiplano
883,Altiplano
884,Altiplano
885,Altiplano
886,Altiplano
887,Altiplano
888,Altiplano
889,Altiplano
890,Altiplano
891,Altiplano
892,Altiplano
893,Mante
894,Mante
895,Mante
896,Mante
897,Centro
898,Centro
899,Centro
900,Centro
901,Mante
902,Mante
903,Mante
904,Centro
905,Centro
906,Centro
907,Centro
908,Centro
909,Centro
910,Centro
911,Centro
912,Centro
913,Centro
914,Centro
915,Centro
916,Sur
917,Centro
918,Centro
919,Sur
920,Sur
921,Sur
922,Sur
923,Sur
924,Sur
925,Sur
926,Sur
927,Sur
928,Sur
929,Sur
930,Sur
931,Sur
932,Sur
933,Altiplano
934,Altiplano
935,Altiplano
936,Altiplano
937,Altiplano
938,Altiplano
939,Altiplano
940,Altiplano
941,Altiplano
942,Altiplano
943,Altiplano
944,Altiplano
945,Altiplano
946,Altiplano
947,Altiplano
948,Altiplano
949,Altiplano
950,Altiplano
951,Altiplano
952,Altiplano
953,Altiplano
954,Altiplano
955,Altiplano
956,Altiplano
957,Centro
958,Centro
959,Centro
960,Centro
961,Centro
962,Mante
963,Centro
964,Centro
965,Centro
966,Centro
967,Centro
968,Centro
969,Centro
970,Centro
971,Centro
972,Centro
973,Centro
974,Centro
975,Centro
976,Centro
977,Sur
978,Centro
979,Centro
980,Sur
981,Sur
982,Sur
983,Sur
984,Sur
985,Sur
986,Sur
987,Sur
988,Sur
989,Sur
990,Sur
991,Sur
992,Sur
993,Altiplano
994,Altiplano
995,Altiplano
996,Altiplano
997,Altiplano
998,Altiplano
999,Altiplano
1000,Altiplano
1001,Altiplano
1002,Altiplano
1003,Altiplano
1004,Altiplano
1005,Altiplano
1006,Altiplano
1007,Altiplano
1008,Altiplano
1009,Altiplano
1010,Altiplano
1011,Altiplano
1012,Altiplano
1013,Altiplano
1014,Altiplano
1015,Altiplano
1016,Centro
1017,Centro
1018,Centro
1019,Centro
1020,Centro
1021,Centro
1022,Centro
1023,Centro
1024,Centro
1025,Centro
1026,Centro
1027,Centro
1028,Centro
1029,Centro
1030,Centro
1031,Centro
1032,Centro
1033,Centro
1034,Centro
1035,Centro
1036,Centro
1037,Centro
1038,Centro
1039,Sur
1040,Sur
1041,Sur
1042,Sur
1043,Sur
1044,Sur
1045,Sur
1046,Sur
1047,Sur
1048,Sur
1049,Sur
1050,Sur
1051,Sur
1052,Altiplano
1053,Altiplano
1054,Altiplano
1055,Altiplano
1056,Altiplano
1057,Altiplano
1058,Altiplano
1059,Altiplano
1060,Altiplano
1061,Altiplano
1062,Altiplano
1063,Altiplano
1064,Altiplano
1065,Altiplano
1066,Altiplano
1067,Altiplano
1068,Altiplano
1069,Altiplano
1070,Altiplano
1071,Altiplano
1072,Altiplano
1073,Altiplano
1074,Centro
1075,Centro
1076,Centro
1077,Centro
1078,Centro
1079,Centro
1080,Centro
1081,Centro
1082,Centro
1083,Centro
1084,Centro
1085,Centro
1086,Centro
1087,Centro
1088,Centro
1089,Centro
1090,Centro
1091,Centro
1092,Centro
1093,Centro
1094,Centro
1095,Centro
1096,Centro
1097,Centro
1098,Centro
1099,Sur
1100,Sur
1101,Sur
1102,Sur
1103,Sur
1104,Sur
1105,Sur
1106,Sur
1107,Sur
1108,Sur
1109,Sur
1110,Altiplano
1111,Altiplano
1112,Altiplano
1113,Altiplano
1114,Altiplano
1115,Altiplano
1116,Altiplano
1117,Altiplano
1118,Altiplano
1119,Altiplano
1120,Altiplano
1121,Altiplano
1122,Altiplano
1123,Altiplano
1124,Altiplano
1125,Altiplano
1126,Altiplano
1127,Altiplano
1128,Altiplano
1129,Altiplano
1130,Altiplano
1131,Altiplano
1132,Altiplano
1133,Centro
1134,Centro
1135,Centro
1136,Centro
1137,Centro
1138,Centro
1139,Centro
1140,Centro
1141,Centro
1142,Centro
1143,Centro
1144,Centro
1145,Centro
1146,Centro
1147,Centro
1148,Centro
1149,Centro
1150,Centro
1151,Centro
1152,Centro
1153,Centro
1154,Centro
1155,Centro
1156,Centro
1157,Sur
1158,Sur
1159,Sur
1160,Sur
1161,Sur
1162,Sur
1163,Sur
1164,Sur
1165,Sur
1166,Sur
1167,Centro
1168,Altiplano
1169,Altiplano
1170,Altiplano
1171,Altiplano
1172,Altiplano
1173,Altiplano
1174,Altiplano
1175,Altiplano
1176,Altiplano
1177,Altiplano
1178,Altiplano
1179,Altiplano
1180,Altiplano
1181,Altiplano
1182,Altiplano
1183,Altiplano
1184,Altiplano
1185,Altiplano
1186,Altiplano
1187,Altiplano
1188,Altiplano
1189,Altiplano
1190,Altiplano
1191,Altiplano
1192,Centro
1193,Centro
